Year,Movie,Odds,Winner
1974,The Sting,2.6,TRUE
1974,The Exorcist,2.6,FALSE
1974,A Touch of Class,7,FALSE
1974,Ameican Graffiti,9,FALSE
1974,Cries and Whispers,11,FALSE
1975,The Godfather Part II,4,TRUE
1975,Chinatown,3,FALSE
1975,The Towering Inferno,4,FALSE
1975,Lenny,8,FALSE
1975,The Conversation,21,FALSE
1976,One Flew Over the Cuckoo's Nest,2,TRUE
1976,Dog Day Afternoon,4,FALSE
1976,Barry Lyndon,7,FALSE
1976,Nashville,9,FALSE
1976,Jaws,11,FALSE
1978,Annie Hall,4,TRUE
1978,Turning Point,2.6,FALSE
1978,Julia Roberts,4,FALSE
1978,Star Wars,4,FALSE
1978,Goodbye Girl,11,FALSE
1981,Ordinary People,2.4,TRUE
1981,Raging Bull,3,FALSE
1981,Tess Harper,3,FALSE
1981,Coal Miner's Daughter,21,FALSE
1981,The Elepant Man,21,FALSE
1983,Ghandi,2.2,TRUE
1983,"E.T., The Extra-Terrestrial",2,FALSE
1983,Tootsie,4,FALSE
1983,The Verdict,4,FALSE
1983,Missing,10,FALSE
1984,Terms of Endearment,2.5,TRUE
1984,The Right Stuff,2,FALSE
1984,Tender Mercies,3.5,FALSE
1984,The Big Chill,12,FALSE
1984,The Dresser,12,FALSE
1985,Amadeus,2.2,TRUE
1985,A Passage to India,2.4,FALSE
1985,The Killing Fields,2.4,FALSE
1985,Places in the Heart,6,FALSE
1985,A Soldier's Story,11,FALSE
1986,Out of Africa,2.4,TRUE
1986,Prizzi's Honor,2.2,FALSE
1986,The Color Purple,2.4,FALSE
1986,Kiss of the Spider Woman,2.6,FALSE
1986,Witness,6,FALSE
1987,Platoon,2,TRUE
1987,Hannah and Her Sisters,2.2,FALSE
1987,Children of a Lesser God,4,FALSE
1987,A Room With a View,5,FALSE
1987,The Mission,6,FALSE
1988,The Last Emperor,2.2,TRUE
1988,Broadcast News,3.5,FALSE
1988,Hope and Glory,4.5,FALSE
1988,Moonstruck,7,FALSE
1988,Fatal Attraction,21,FALSE
1989,Rain Man,2.2,TRUE
1989,Mississippi Burning,4,FALSE
1989,The Accidental Tourist,6,FALSE
1989,Dangerous Liaisons,6,FALSE
1989,Working Girl,9,FALSE
1990,Driving Miss Daisy,2.2,TRUE
1990,Born on the Fourth of July,2.4,FALSE
1990,My Left Foot,5,FALSE
1990,Dead Poets Society,11,FALSE
1990,The Field of Dreams,21,FALSE
1991,Dances With Wolves,1.25,TRUE
1991,Awakenings,5,FALSE
1991,Goodfellas,8,FALSE
1991,"The Godfather, Part III",9,FALSE
1991,Ghost,51,FALSE
1992,The Silence of the Lambs,2.5,TRUE
1992,Bugsy,3,FALSE
1992,The Prince of Tides,5.5,FALSE
1992,JFK,7,FALSE
1992,Beauty and the Beast,7,FALSE
1993,Unforgiven,2,TRUE
1993,Howards End,3.5,FALSE
1993,Scent of a Woman,6,FALSE
1993,The Crying Game,6,FALSE
1993,A Few Good Men,16,FALSE
1994,Schindler's List,1.333333333,TRUE
1994,The Fugitive,16,FALSE
1994,In the Name of the Father,9,FALSE
1994,The Piano,5,FALSE
1994,The Remains of the Day,8,FALSE
1995,Forrest Gump,1.598802395,TRUE
1995,Pulp Fiction,3,FALSE
1995,Four Weddings and a Funeral,11,FALSE
1995,Quiz Show,11,FALSE
1995,The Shawshank Redemption,16,FALSE
1996,Braveheart,7,TRUE
1996,Sense and Sensibility,1.8,FALSE
1996,Apollo 13,4.5,FALSE
1996,Babe,7,FALSE
1996,The Postman,13,FALSE
1997,The English Patient,1.5,TRUE
1997,Shine,5,FALSE
1997,Fargo,5,FALSE
1997,Jerry Maguire,9,FALSE
1997,Secrets and Lies,11,FALSE
1998,Titanic,1.2,TRUE
1998,LA Confidential,4.5,FALSE
1998,Good Will Hunting,16,FALSE
1998,As Good as it Gets,19,FALSE
1998,The Full Monty,21,FALSE
1999,Saving Private Ryan,1.5,TRUE
1999,Shakespeare in Love,3.5,FALSE
1999,Life is Beautiful,6,FALSE
1999,The Thin Red Line,19,FALSE
1999,Elizabeth,31,FALSE
2000,American Beauty,1.285714286,FALSE
2000,The Insider,7.5,FALSE
2000,The Sixth Sense,7.5,FALSE
2000,The Cider House Rules,2.5,FALSE
2000,The Green Mile,19,FALSE
2001,Gladiator,1.25,TRUE
2001,Traffic,4.5,FALSE
2001,Erin Brockovich,16,FALSE
2001,Chocolat,41,FALSE
2001,"Crouching Tiger, Hidden Dragon",11,FALSE
2003,Chicago,1.598802395,TRUE
2003,Gangs of New York,9,FALSE
2003,The Hours,3.5,FALSE
2003,The Lord of the Rings: The Two Towers,13,FALSE
2003,The Pianist,21,FALSE
2004,The Lord of the Rings: The Return of the King,1.125,TRUE
2004,Mystic River,7,FALSE
2004,Lost in Translation,9,FALSE
2004,Master and Commander,31,FALSE
2004,Seabiscuit,51,FALSE
2005,Million Dollar Baby,3,TRUE
2005,The Aviator,1.5,FALSE
2005,Sideways,7,FALSE
2005,Finding Neverland,51,FALSE
2005,Ray,61,FALSE
2006,Crash,3,TRUE
2006,Brokeback Mountain,1.8,FALSE
2006,"Good Night, and Good Luck.",4,FALSE
2006,Capote,31,FALSE
2006,Munich,41,FALSE
2008,No Country For Old Men,1.333333333,TRUE
2008,Michael Clayton,16,FALSE
2009,Slumdog Millionaire,1.5,TRUE
2009,The Curious Case of Benjamin Button,5,FALSE
2009,Milk,9,FALSE
2009,Frost/Nixon,13,FALSE
2009,The Reader,16,FALSE
2010,The Hurt Locker,1.740740741,TRUE
2010,A Serious Man,76,FALSE
2010,Up,76,FALSE
2010,An Education,76,FALSE
2010,The Blind Side,51,FALSE
2010,Precious,41,FALSE
2010,Up In The Air,26,FALSE
2010,Inglorious Basterds,10,FALSE
2010,Avatar,2,FALSE
2010,District 9,101,FALSE
2011,The Kings Speech,1.166666667,TRUE
2011,The Kids Are Alright,76,FALSE
2011,Toy Story 3,76,FALSE
2011,127 Hours,41,FALSE
2011,Inception,41,FALSE
2011,True Grit,26,FALSE
2011,The Fighter,26,FALSE
2011,Black Swan,26,FALSE
2011,The Social Network,4.5,FALSE
2011,Winters Bone,76,FALSE
2012,The Artist,1.083333333,TRUE
2012,The Descendants,11,FALSE
2012,The Help,13,FALSE
2012,Hugo,21,FALSE
2012,Moneyball,41,FALSE
2012,War Horse,41,FALSE
2012,Extremely Loud & Incredibly Close,76,FALSE
2012,Midnight In Paris,76,FALSE
2012,The Tree of Life,76,FALSE
2013,Argo,1.120048019,TRUE
2013,Lincoln,5.5,FALSE
2013,Silver Linings Playbook,19,FALSE
2013,Zero Dark Thirty,34,FALSE
2013,Les Miserables,51,FALSE
2013,Life of Pi,51,FALSE
2013,Amour,67,FALSE
2013,Django Unchained,67,FALSE
2013,Beasts of the Southern Wild,81,FALSE
2014,12 Years a Slave,1.2,TRUE
2014,Gravity,4.5,FALSE
2014,American Hustle,17,FALSE
2014,Dallas Buyers Club,23,FALSE
2014,The Wolf of Wall Street,41,FALSE
2014,Philomena,151,FALSE
2014,Captain Phillips,201,FALSE
2014,Her,201,FALSE
2014,Nebraska,201,FALSE
2015,Birdman or (The Unexpected Virtue of Ignorance),1.444444444,TRUE
2015,Boyhood,2.3,FALSE
2015,American Sniper,16,FALSE
2015,The Imitation Game,34,FALSE
2015,Selma,34,FALSE
2015,The Grand Budapest Hotel,51,FALSE
2015,Theory of Everything,67,FALSE
2015,Whiplash,67,FALSE
2016,Spotlight,4.5,TRUE
2016,The Revenant,1.4,FALSE
2016,The Big Short,8,FALSE
2016,Room,126,FALSE
2016,Mad Max: Fury Road,126,FALSE
2016,The Martian,161,FALSE
2016,Brooklyn,251,FALSE
2016,Bridge of Spies,251,FALSE
2017,Moonlight,5.3,TRUE
2017,La La Land,1.222222222,FALSE
2017,Hidden Figures,36,FALSE
2017,Manchester by the Sea,51,FALSE
2017,Lion,101,FALSE
2017,Arrival,226,FALSE
2017,Hacksaw Ridge,186,FALSE
2017,Fences,246,FALSE
2017,Hell or High Water,291,FALSE
2018,The Shape of Water,2.67,TRUE
2018,"Three Billboards Outside Ebbing, Missouri",2.03,FALSE
2018,Get Out,7.55,FALSE
2018,Lady Bird,16.5,FALSE
2018,Dunkirk,44,FALSE
2018,Call Me By Your Name,86,FALSE
2018,The Post,161,FALSE
2018,Phantom Thread,161,FALSE
2018,Darkest Hour,211,FALSE
2019,Green Book,3.1,TRUE
2019,Roma,1.64516129,FALSE
2019,Bohemian Rhapsody,24,FALSE
2019,Black Panther,24,FALSE
2019,The Favourite,26,FALSE
2019,BlackKKlansman,31,FALSE
2019,A Star is Born,76,FALSE
2019,Vice,151,FALSE
2020,Parasite,2.73,TRUE
2020,1917,1.613496933,FALSE
2020,Once Upon a Time... in Hollywood,16.25,FALSE
2020,Joker,38.5,FALSE
2020,Jojo Rabbit,57.5,FALSE
2020,The Irishman,96,FALSE
2020,Marriage Story,146,FALSE
2020,Little Women,246,FALSE
2020,Ford v Ferrari,296,FALSE
2021,Nomadland,1.181818182,TRUE
2021,The Trial of the Chicago 7,6.5,FALSE
2021,Minari,15,FALSE
2021,Promising Young Woman,21,FALSE
2021,Mank,34,FALSE
2021,The Father,51,FALSE
2021,Judas and the Black Messiah,51,FALSE
2021,Sound of Metal,67,FALSE
2022,CODA,1.8,TRUE
2022,The Power of the Dog,2.1,FALSE
2022,Nightmare Alley,101,FALSE
2022,King Richard,51,FALSE
2022,Dune,51,FALSE
2022,Licorice Pizza,67,FALSE
2022,Drive My Car,67,FALSE
2022,West Side Story,34,FALSE
2022,Belfast,15,FALSE
2022,Don't Look Up,10,FALSE
